user_id,text
U001,Looking to explore investment options beyond fixed deposits.
U002,Excited to learn more about crypto and tech funds.
U003,Looking to explore investment options beyond fixed deposits.
U004,Looking to explore investment options beyond fixed deposits.
U005,Worried about inflation and how to save better.
U006,I'm feeling uncertain about the market lately.
U007,Excited to learn more about crypto and tech funds.
U008,Excited to learn more about crypto and tech funds.
U009,Looking to explore investment options beyond fixed deposits.
U010,Looking to explore investment options beyond fixed deposits.
U011,Seeking advice on planning for retirement efficiently.
U012,Worried about inflation and how to save better.
U013,Seeking advice on planning for retirement efficiently.
U014,Seeking advice on planning for retirement efficiently.
U015,Seeking advice on planning for retirement efficiently.
U016,Excited to learn more about crypto and tech funds.
U017,Excited to learn more about crypto and tech funds.
U018,I'm feeling uncertain about the market lately.
U019,I'm feeling uncertain about the market lately.
U020,Looking to explore investment options beyond fixed deposits.
U021,Looking to explore investment options beyond fixed deposits.
U022,Looking to explore investment options beyond fixed deposits.
U023,I'm feeling uncertain about the market lately.
U024,Seeking advice on planning for retirement efficiently.
U025,Seeking advice on planning for retirement efficiently.
U026,I'm feeling uncertain about the market lately.
U027,Excited to learn more about crypto and tech funds.
U028,Seeking advice on planning for retirement efficiently.
U029,Worried about inflation and how to save better.
U030,Seeking advice on planning for retirement efficiently.
